simulator-1  | 2026-06-27T16:16:13.199530731Z Operations to perform:
simulator-1  | 2026-06-27T16:16:44.124848646Z [27/Jun/2026 16:16:44] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:44.155158728Z [27/Jun/2026 16:16:44] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1212
simulator-1  | 2026-06-27T16:16:44.191611909Z [27/Jun/2026 16:16:44] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1107
simulator-1  | 2026-06-27T16:16:44.381024607Z [27/Jun/2026 16:16:44] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:44.411177551Z [27/Jun/2026 16:16:44] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1212
simulator-1  | 2026-06-27T16:16:44.440848402Z [27/Jun/2026 16:16:44] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1107
simulator-1  | 2026-06-27T16:16:44.678493728Z [27/Jun/2026 16:16:44] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:44.714972142Z [27/Jun/2026 16:16:44] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1212
simulator-1  | 2026-06-27T16:16:44.747306884Z [27/Jun/2026 16:16:44] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1107
simulator-1  | 2026-06-27T16:16:44.971979664Z [27/Jun/2026 16:16:44] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:45.017494707Z [27/Jun/2026 16:16:45] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1212
simulator-1  | 2026-06-27T16:16:45.021528157Z [27/Jun/2026 16:16:45] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:45.052131905Z [27/Jun/2026 16:16:45] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1107
simulator-1  | 2026-06-27T16:16:45.255831397Z [27/Jun/2026 16:16:45] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:45.290432365Z [27/Jun/2026 16:16:45] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1212
