rabbitmq-1  | 2026-06-27T16:04:13.119434260Z 2026-06-27 16:04:13.119092+00:00 [info] <0.254.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent[0m
rabbitmq-1  | 2026-06-27T16:04:13.119727116Z 2026-06-27 16:04:13.119201+00:00 [info] <0.254.0> Management plugin: using rates mode 'basic'[0m
rabbitmq-1  | 2026-06-27T16:04:13.119915342Z 2026-06-27 16:04:13.119648+00:00 [info] <0.254.0> Running boot step recovery defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.149300187Z 2026-06-27 16:04:13.148655+00:00 [info] <0.254.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.149504950Z 2026-06-27 16:04:13.148808+00:00 [info] <0.254.0> Will seed default virtual host and user...[0m
rabbitmq-1  | 2026-06-27T16:04:13.149632171Z 2026-06-27 16:04:13.149034+00:00 [info] <0.254.0> Adding vhost '/' (description: 'Default virtual host', tags: [])[0m
rabbitmq-1  | 2026-06-27T16:04:13.174845471Z 2026-06-27 16:04:13.174405+00:00 [info] <0.646.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@cbed70e1a17b/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-1  | 2026-06-27T16:04:13.179120373Z 2026-06-27 16:04:13.177547+00:00 [info] <0.646.0> Setting segment_entry_count for vhost '/' with 0 queues to '2048'[0m
rabbitmq-1  | 2026-06-27T16:04:13.199300963Z 2026-06-27 16:04:13.198725+00:00 [info] <0.646.0> Starting message stores for vhost '/'[0m
rabbitmq-1  | 2026-06-27T16:04:13.199767548Z 2026-06-27 16:04:13.199285+00:00 [info] <0.655.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_transient": using rabbit_msg_store_ets_index to provide index[0m
rabbitmq-1  | 2026-06-27T16:04:13.201955763Z 2026-06-27 16:04:13.201614+00:00 [info] <0.646.0> Started message store of type transient for vhost '/'[0m
rabbitmq-1  | 2026-06-27T16:04:13.202230411Z 2026-06-27 16:04:13.201884+00:00 [info] <0.659.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent": using rabbit_msg_store_ets_index to provide index[0m
rabbitmq-1  | 2026-06-27T16:04:13.203406232Z [38;5;214m2026-06-27 16:04:13.203075+00:00 [warning] <0.659.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-1  | 2026-06-27T16:04:13.204827299Z 2026-06-27 16:04:13.204441+00:00 [info] <0.646.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-1  | 2026-06-27T16:04:13.204972852Z 2026-06-27 16:04:13.204646+00:00 [info] <0.646.0> Recovering 0 queues of type rabbit_classic_queue took 26ms[0m
